Actual,Predicted
178.8975,177.424554997
273.19,271.14417999900013
129.4366667,128.00927333000007
259.2233333,258.371275015
615.09,612.4555666649997
179.5425,177.21312333400007
130.48,129.51915499999998
259.89,258.52135001
617.69,616.5709999989996
180.1875,178.17496833500002
274.93,273.6844200020001
129.64,130.53524999099992
258.36,259.4722833330003
599.36,607.3686333329997
177.885,177.67969833500007
271.89,273.009373335
130.15,129.46132541500006
257.38,257.5327200000001
604.87,603.4471666649997
178.1025,177.0639500000001
131.79,131.59976666600002
260.9,258.036575
616.6,609.1017333329999
186.5725,181.99640666699997
278.11,272.84257333599993
130.46,131.19778125699983
259.43,260.84103333000013
623.31,622.3317000029997
186.3875,188.90633999999997
283.38,280.9839399990001
131.0733333,131.150741673
260.4966667,260.7103999919999
622.4833333,625.1955000019997
185.6825,188.8135366620001
283.2866667,281.0879466669999
131.6866667,131.089725005
261.5633333,261.023266664
621.6566667,625.8254666659997
184.9775,184.3289233310001
283.1933333,279.726660012
132.3,131.07886458299996
262.63,261.5715833340002
620.83,626.8116333349997
184.2725,182.575376666
283.1,280.01401334400003
133.98,132.7584000000001
265.51,263.2807000010001
623.71,623.2275666689998
188.8675,187.85745333200015
133.7,134.0471250029999
265.275,264.972699999
656.57,647.7083333320002
190.5725,190.51990999799997
288.12,282.4089266720001
133.41,134.195183333
266.69,265.71735999799995
679.82,686.0602666680003
192.055,191.95153999599984
293.21,295.7126166659999
133.11,133.9458499989999
265.02,265.09426666600007
671.87,682.8029666670003
190.31,190.94675999399996
289.6,292.99327666599993
133.6666667,134.09665000299992
266.2533333,265.72066666200004
677.4866667,684.3044000009999
193.49,192.75752665999988
290.95,294.4570299999998
134.2233333,134.491100007
267.4866667,268.17627333199994
683.1033333,685.6628666669999
196.67,196.249003334
292.3,294.8327366669999
134.78,134.65909166699998
268.72,269.36694000400007
688.72,686.3905666679999
199.85,198.77527000499998
293.65,295.2148966669999
136.33,134.97184999999993
271.4,270.05377333
680.76,684.0065666690002
200.2675,199.77871999900003
292.76,295.26633999999996
136.96,136.280539584
270.9,271.059953331
679.7,687.821666667
200.025,200.1252933330001
291.48,294.3322233329999
137.27,136.77092083300005
271.6,272.3655666680001
677.92,679.0222000010006
202.12,203.41698666799988
289.0,283.8801566720001
139.96,139.416942086
277.65,275.25116667300006
678.9,685.1312500020006
204.87,205.57347499899996
290.24,293.3251833329998
140.475,139.42224291499997
277.6525,276.17370667600005
674.07,680.2024500010001
205.39875,205.42070833300005
140.99,140.58756832600005
277.655,278.04978667600005
669.24,668.7775166720002
205.9275,205.5040333340001
291.04,294.3415900009999
141.505,141.82393499700004
277.6575,279.000686671
664.41,665.0263500060001
206.45625,205.62219166700012
291.84,294.18520666799986
142.02,142.37437166700002
277.66,280.13684000399996
659.58,661.9189000040003
206.985,205.86174166400005
292.64,294.2304533349999
144.57,143.70813166699995
279.93,280.9285066709999
644.65,643.9162333239997
203.7175,205.78604166500008
297.13,298.31929333299996
143.24,142.27492499900006
277.42,280.4807666719998
652.81,642.0901333320006
199.0275,199.338996667
295.05,295.9130099999999
145.11,144.07513333499995
277.94,279.3180266689999
656.95,648.868783334
200.5025,199.29950000400007
300.21,298.5054899999999
144.9066667,144.20681000299993
277.7333333,280.4703266699999
666.5333333,651.6076
202.0433333,200.06871000500013
301.13,298.50111999999996
144.7033333,144.31419666899993
277.5266667,280.385633333
676.1166667,662.9505333380001
203.5841667,200.88300000200005
302.05,300.0794666659999
144.5,144.35222500299997
277.32,280.5422533359999
685.7,668.9476000050003
205.125,204.49857500500002
302.97,304.77232999800003
145.64,144.27034166899986
280.98,280.82296000400004
668.54,678.2506666670004
202.5,203.41500000399995
301.19,304.68485333200044
149.15,148.09597666499997
282.51,281.13560666800004
653.38,661.9187666730002
198.415,202.4937699999999
300.75,305.2468700000004
148.48,147.89137666399992
281.03,280.963526667
650.6,644.8103666569998
189.6625,193.19374666
296.51,298.93613
146.39,147.28166833199998
280.75,281.08449333399994
644.22,649.5076499990003
181.61,184.57147666600005
294.63,298.3376999999999
145.0766667,145.51757667099994
279.5033333,280.75413999799997
644.8866667,644.252066661
183.6725,184.82911666400005
294.7033333,297.660793333
143.7633333,144.60390333599997
278.2566667,280.51861333499994
645.5533333,639.2720333300001
185.735,185.65759666500006
294.7766667,296.55512999999996
142.45,143.76219666799992
277.01,280.45606666699996
646.22,634.0235333310004
187.7975,184.29969666400004
294.85,294.9869466669998
146.15,144.30767833599992
279.32,280.60893333799993
660.5,649.8590666660001
186.12,185.98170333400014
298.07,298.56301333299996
145.4,145.23951333299996
281.4,280.21350000599995
655.29,650.8449666659999
194.1,192.429053333
301.77,298.98305
146.8,145.58211833499993
286.14,282.18560666800016
649.26,651.1694000009999
195.94,196.57394667000005
303.69,305.0278599990004
148.56,147.60766
289.67,284.5303433280001
643.38,641.987066661
195.58,196.28905333200012
308.53,311.4367800010003
148.7033333,147.97702166599996
289.4633333,285.9802699930001
648.1266667,647.128366665
194.7,194.18106999899993
307.9533333,310.56173666600023
148.8466667,148.15659333299993
289.2566667,285.7669999980001
652.8733333,651.4929333329999
193.82,192.3215466629999
307.3766667,309.3103366680003
148.99,148.21279166699998
289.05,285.954309997
657.62,649.3149333309998
192.94,191.02393332899996
306.8,312.03142666700023
146.77,146.47597833099996
286.54,283.5011199990001
644.78,641.1873333319995
192.08,192.299669997
300.48,301.16265333500036
144.98,143.76538666799993
286.22,283.54406666500006
646.98,647.3867333330002
195.03,193.43927333099998
301.98,299.31863999999996
145.64,145.15232000199995
286.5,283.0951066690001
677.35,667.4267333349999
196.62,196.55255333699998
283.17,282.42951999800016
145.86,145.25783167
284.91,282.6513933330001
687.2,691.1155833340002
194.99,195.63478666700001
275.53,279.6879266760001
145.7466667,145.85211333799992
284.88,282.6960933300001
694.69,697.8252999950003
195.8266667,196.64809333799997
274.0166667,275.77120000499997
145.6333333,145.490491668
284.85,282.912219997
702.18,705.8267999970001
196.6633333,196.00144333599997
272.5033333,274.96007334300015
145.52,145.273296667
284.82,283.1508533299999
709.67,714.2238000000002
197.5,196.777980007
