Actual,Predicted
223.41,220.78049167100028
282.43,280.702400011
148.79,147.947104998
305.22,306.10202667000044
756.99,755.7758333260011
222.42,220.85515000400017
282.97,281.25803333300007
146.06,146.960984999
299.87,307.57208666700035
759.49,752.9818333260006
219.0,220.18676667100007
276.34,281.0513133310001
145.02,145.31672000499992
298.0133333,298.9125866669999
749.7166667,736.8779666750005
216.3766667,216.03984999400004
143.98,144.46837833599997
296.1566667,298.6284966669999
739.9433333,736.1345833510005
213.7533333,213.85295833300003
273.125,273.73026667
142.94,143.33861999999996
294.3,297.45846333299977
730.17,733.4073166659997
211.13,210.6299250000001
269.91,270.0053599979999
212.46,211.54119999999992
269.49,269.506446666
